env_step,episode,epsilon,episode_reward,total_waiting_time,throughput,loss
30600,42,0.6174999999999999,-716.5694555342197,257.0,1758,0.29149100184440613
30800,42,0.615,-858.1991104185581,146.0,2855,0.069680355489254
31000,43,0.6125,-231.12997195869684,184.0,25,0.4471765458583832
31200,43,0.61,-556.169719196856,261.0,1119,0.3511582612991333
31400,43,0.6074999999999999,-697.3994226232171,152.0,2215,0.380232036113739
31600,43,0.605,-895.7490930333734,94.0,3313,0.1646760106086731
31800,44,0.6025,-361.9698958694935,212.0,413,0.06811888515949249
32000,44,0.6000000000000001,-537.3397016823292,133.0,1535,0.3292040526866913
32200,44,0.5974999999999999,-754.9593344032764,97.0,2654,0.03233621269464493
32400,44,0.595,-1200.899042159319,279.0,3769,0.22348663210868835
32600,45,0.5925,-663.8597410842776,404.0,882,0.0905638113617897
32800,45,0.5900000000000001,-741.249520175159,214.0,1994,0.1314246505498886
33000,45,0.5875,-1026.4392765685916,233.0,3099,0.40277913212776184
33200,46,0.585,-285.1399629712105,185.0,191,0.1734851747751236
33400,46,0.5825,-622.6896465420723,259.0,1325,0.13951238989830017
33600,46,0.58,-695.92940980196,65.0,2437,0.24585163593292236
33800,46,0.5775,-1175.279127418995,279.0,3541,0.1546846628189087
34000,47,0.575,-317.60984336584806,108.0,652,0.09038843214511871
34200,47,0.5725,-727.219540707767,245.0,1757,0.1148899495601654
34400,47,0.57,-895.8492423221469,146.0,2862,0.05622824281454086
34600,48,0.5675,-165.59998052567244,120.0,23,0.24070757627487183
34800,48,0.565,-471.83965700119734,153.0,1126,0.11496585607528687
35000,48,0.5625,-773.559457950294,178.0,2220,0.13658277690410614
35200,48,0.56,-1126.129251651466,257.0,3313,0.1184617280960083
35400,49,0.5575,-313.7499174401164,157.0,412,0.29796892404556274
35600,49,0.5549999999999999,-580.879675321281,146.0,1537,0.023661501705646515
35800,49,0.5525,-850.8994676396251,142.0,2664,0.0732344388961792
36000,49,0.55,-1168.8092333599925,181.0,3777,1.3384848833084106
36200,50,0.5475,-386.47979854792356,113.0,878,0.39437779784202576
36400,50,0.5449999999999999,-745.6895964071155,196.0,1993,0.04143820330500603
36600,50,0.5425,-1048.4393331930041,225.0,3094,0.0656920075416565
36800,51,0.54,-256.61996880173683,153.0,193,0.04086700826883316
37000,51,0.5375000000000001,-670.2497047483921,299.0,1314,0.07349681854248047
37200,51,0.5349999999999999,-816.6294235289097,177.0,2450,0.17053073644638062
37400,51,0.5325,-1039.209185987711,130.0,3538,0.12719523906707764
37600,52,0.53,-510.3598612397909,297.0,652,0.12600930035114288
37800,52,0.5275,-648.2996612638235,174.0,1759,0.14144761860370636
38000,52,0.5249999999999999,-847.1893280595541,107.0,2863,0.046731770038604736
38200,53,0.5225,-147.1199827492237,102.0,25,0.029716577380895615
38400,53,0.52,-423.64971831440926,116.0,1122,0.14288349449634552
38600,53,0.5175000000000001,-787.0594740211964,211.0,2226,0.10727598518133163
38800,53,0.515,-1036.7391276657581,195.0,3317,0.14866262674331665
39000,54,0.5125,-269.6298855226487,110.0,422,0.22222280502319336
39200,54,0.51,-517.4296444337815,80.0,1541,0.025487719103693962
39400,54,0.5075,-917.1393631380051,208.0,2665,0.06736362725496292
39600,54,0.5049999999999999,-1145.0991888921708,156.0,3772,0.1414816975593567
39800,55,0.5025,-392.8897591084242,127.0,882,0.03494156897068024
40000,55,0.5,-676.6294098347425,139.0,1992,0.05541050434112549
40200,55,0.49749999999999994,-897.6491241902113,86.0,3096,0.3800904452800751
40400,56,0.495,-305.12995908409357,204.0,195,0.3810281753540039
40600,56,0.49249999999999994,-492.6597561612725,117.0,1325,0.047453779727220535
40800,56,0.49,-790.6495618596673,132.0,2451,0.036206409335136414
41000,56,0.48750000000000004,-1156.519358612597,221.0,3537,0.0874171108007431
41200,57,0.485,-314.9698649123311,99.0,653,0.05782662332057953
41400,57,0.48250000000000004,-653.089565820992,155.0,1766,0.061195049434900284
41600,57,0.48,-882.83936984092,105.0,2865,0.039483845233917236
41800,58,0.4774999999999999,-172.43997790291905,126.0,28,0.1324150711297989
42000,58,0.475,-484.73972680047154,159.0,1116,0.11727100610733032
42200,58,0.4724999999999999,-715.4995038695633,105.0,2224,0.4299851655960083
42400,58,0.47,-996.8492973037064,109.0,3313,0.13282686471939087
42600,59,0.4675,-442.819905012846,281.0,422,0.033137522637844086
42800,59,0.46499999999999997,-570.9997026622295,130.0,1547,0.02924504317343235
43000,59,0.4625,-801.299472540617,78.0,2666,0.18376821279525757
43200,59,0.45999999999999996,-1140.0892927348614,138.0,3770,0.045711420476436615
43400,60,0.4575,-433.46979550272226,162.0,876,0.023716524243354797
43600,60,0.45500000000000007,-668.0995905771852,114.0,1991,0.03901411592960358
43800,60,0.4525,-939.9293420687318,105.0,3102,0.06440157443284988
44000,61,0.44999999999999996,-172.98995216935873,70.0,201,0.10483487695455551
44200,61,0.4474999999999999,-547.9197235926986,168.0,1318,0.06662774085998535
44400,61,0.44499999999999995,-752.8895176276565,88.0,2444,0.07579085230827332
44600,61,0.4425,-1099.5693789348006,145.0,3542,0.4703107476234436
44800,62,0.43999999999999995,-345.87990760058165,118.0,657,0.02328207902610302
45000,62,0.4375,-658.7496769353747,136.0,1766,0.027965256944298744
45200,62,0.43499999999999994,-997.4795420095325,187.0,2867,0.24999374151229858
45400,63,0.4325,-194.6200046353042,148.0,28,0.09478969126939774
45600,63,0.43000000000000005,-448.98988197371364,115.0,1119,0.21622811257839203
45800,63,0.4275,-746.4997520260513,133.0,2222,0.06185431778430939
46000,63,0.42500000000000004,-1026.8595986180007,116.0,3311,0.04153163358569145
46200,64,0.4225,-315.06988218426704,157.0,417,0.14656123518943787
46400,64,0.41999999999999993,-547.6297405064106,112.0,1539,0.018058691173791885
46600,64,0.4175,-831.3494794666767,116.0,2665,0.6215895414352417
46800,64,0.4149999999999999,-1071.2193153202534,73.0,3776,0.040140554308891296
47000,65,0.4125,-364.8898015804589,102.0,876,0.1627420037984848
47200,65,0.41000000000000003,-717.8295942135155,170.0,1994,0.05451960861682892
47400,65,0.4075,-952.5493543930352,125.0,3110,0.5094876289367676
47600,66,0.405,-189.12992780283093,88.0,205,0.05866431072354317
47800,66,0.40249999999999997,-655.5296355970204,282.0,1325,0.0507231131196022
